School_ID,School_Year,School_Name,Network,SQRP_Rating,SQRP_Score,SQRP_Accountability,African_American_Math_Growth_Percentile_Score,African_American_Reading_Growth_Percentile_Score,Average_Daily_Attendance_Rate_K-8_Score,Diverse_Learner_Math_Growth_Percentile_Score,Diverse_Learner_Reading_Growth_Percentile_Score,ELL_Math_Growth_Percentile_Score,ELL_Reading_Growth_Percentile_Score,Hispanic_Math_Growth_Percentile_Score,Hispanic_Reading_Growth_Percentile_Score,My_Voice_My_School_Survey_Score,NWEA_Math_Growth_Percentile_Score,NWEA_Percent_Students_Exceeding_Avg_Growth_Score,NWEA_Reading_Growth_Percentile_Score,National_School_Attainment_Math_Percentile_Gr2_Score,National_School_Attainment_Math_Percentile_Gr3-8_Score,National_School_Attainment_Reading_Percentile_Gr2_Score,National_School_Attainment_Reading_Percentile_Gr3-8_Score,Percent_Students_ACCESS_Adequate_Progress_Score,Data_Quality_Index_Score
609772,2015-2016,ADDAMS,NETWORK 13,Level 1,3.9,Good Standing,,,95.9,86.0,66.0,61.0,20.0,76.0,71.0,Organized,76.0,56.4,71.0,81.0,76.0,62.0,70.0,44.6,99.3
609773,2015-2016,AGASSIZ,NETWORK 4,Level 1,3.9,Good Standing,34.0,73.0,95.5,36.0,18.0,,,53.0,77.0,Well Organized,58.0,52.7,77.0,84.0,86.0,96.0,87.0,54.5,98.6
400060,2015-2016,AHS - PASSAGES,CHARTER,Level 1,3.8,Not Applicable,26.0,66.0,96.1,,,76.0,66.0,80.0,95.0,Partially Organized,44.0,52.3,71.0,95.0,85.0,84.0,77.0,53.3,93.9
610212,2015-2016,ALBANY PARK,NETWORK 1,Level 1,3.9,Good Standing,,,97.3,,,,,55.0,69.0,Well Organized,64.0,56.7,69.0,,79.0,,70.0,35.1,99.8
609848,2015-2016,ALDRIDGE,NETWORK 13,Level 3,1.8,Intensive Support,26.0,25.0,90.9,,,,,,,Not Yet Organized,26.0,51.5,25.0,1.0,1.0,1.0,3.0,,99.2
609951,2015-2016,ARIEL,ISP,Level 1,3.4,Good Standing,63.0,40.0,95.6,31.0,98.0,,,,,Well Organized,64.0,49.2,38.0,55.0,84.0,77.0,75.0,,99.1
609777,2015-2016,ARMOUR,NETWORK 6,Level 2,2.6,Provisional Support,,,94.9,,,,,10.0,38.0,Organized,9.0,43.7,38.0,93.0,30.0,92.0,45.0,27.0,99.7
609779,2015-2016,ARMSTRONG G,NETWORK 2,Level 1,3.7,Good Standing,56.0,45.0,95.5,31.0,1.0,61.0,3.0,64.0,48.0,Well Organized,72.0,54.9,57.0,76.0,80.0,71.0,63.0,43.9,99.8
610287,2015-2016,ASHBURN,NETWORK 10,Level 2+,3.3,Good Standing,28.0,55.0,95.0,,,,,,,Well Organized,28.0,51.9,52.0,23.0,49.0,52.0,52.0,,99.5
610268,2015-2016,ASHE,NETWORK 12,Level 2,2.0,Intensive Support,36.0,25.0,90.8,,,,,,,Moderately Organized,36.0,52.5,25.0,1.0,15.0,2.0,14.0,,92.2
400017,2015-2016,ASPIRA - HAUGAN,CHARTER,Level 2+,3.2,Not Applicable,,,95.3,3.0,3.0,56.0,14.0,33.0,66.0,Organized,33.0,51.8,62.0,,45.0,,44.0,29.3,99.6
609782,2015-2016,AUDUBON,NETWORK 4,Level 1+,3.9,Good Standing,,,95.6,16.0,20.0,,,42.0,82.0,Well Organized,58.0,49.7,89.0,88.0,98.0,97.0,97.0,50.0,99.8
609786,2015-2016,AVALON PARK,NETWORK 12,Level 2,2.8,Provisional Support,69.0,43.0,93.0,,,,,,,Organized,67.0,58.8,45.0,2.0,17.0,6.0,7.0,,99.9
610544,2015-2016,AZUELA,NETWORK 10,Level 1,3.5,Good Standing,,,95.5,55.0,15.0,70.0,75.0,61.0,60.0,Moderately Organized,60.0,54.1,60.0,71.0,64.0,63.0,60.0,53.7,99.1
609788,2015-2016,BARNARD,NETWORK 10,Level 1,3.6,Good Standing,58.0,85.0,95.7,87.0,95.0,,,,,Organized,58.0,59.2,85.0,32.0,37.0,10.0,74.0,,99.1
609789,2015-2016,BARRY,NETWORK 4,Level 1,3.6,Good Standing,,,95.1,86.0,99.0,48.0,91.0,48.0,80.0,Organized,47.0,56.0,78.0,54.0,39.0,56.0,32.0,46.7,99.0
609790,2015-2016,BARTON,NETWORK 11,Level 3,1.8,Intensive Support,7.0,6.0,93.6,1.0,1.0,,,,,Organized,8.0,43.8,6.0,4.0,2.0,4.0,5.0,,99.0
609791,2015-2016,BASS,NETWORK 11,Level 2+,3.2,Intensive Support,77.0,50.0,94.5,93.0,2.0,,,,,Organized,76.0,59.2,45.0,54.0,8.0,14.0,4.0,,99.6
609792,2015-2016,BATEMAN,NETWORK 1,Level 1,3.7,Good Standing,,,96.2,11.0,5.0,31.0,1.0,55.0,43.0,Organized,53.0,52.8,50.0,72.0,49.0,76.0,44.0,52.5,99.7
610083,2015-2016,BEARD,NETWORK 1,Inability to Rate,,Good Standing,,,92.9,,,,,,,Well Organized,,,,,,,,,99.9
610246,2015-2016,BEASLEY,NETWORK 9,Level 1,3.6,Good Standing,31.0,73.0,95.2,1.0,95.0,,,,,Well Organized,33.0,50.3,73.0,62.0,53.0,72.0,72.0,,100.0
