School_ID,School_Year,NWEA_Reading_Growth_Percentile_Participation_Rate,NWEA_Math_Growth_Percentile_Participation_Rate,NWEA_Percent_Students_Exceeding_Avg_Growth_Participation_Rate,African_American_Reading_Growth_Percentile_Participation_Rate,Hispanic_Reading_Growth_Percentile_Participation_Rate,ELL_Reading_Growth_Percentile_Participation_Rate,Diverse_Learner_Reading_Growth_Percentile_Participation_Rate,African_American_Math_Growth_Percentile_Participation_Rate,Hispanic_Math_Growth_Percentile_Participation_Rate,ELL_Math_Growth_Percentile_Participation_Rate,Diverse_Learner_Math_Growth_Percentile_Participation_Rate,National_School_Attainment_Reading_Percentile_Gr3-8_Participation_Rate,National_School_Attainment_Math_Percentile_Gr3-8_Participation_Rate,National_School_Attainment_Reading_Percentile_Gr2_Participation_Rate,National_School_Attainment_Math_Percentile_Gr2_Participation_Rate,Percent_Students_ACCESS_Adequate_Progress_Participation_Rate
609772,2015-2016,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0
609773,2015-2016,100.0,97.0,99.0,100.0,100.0,,100.0,97.0,100.0,,97.0,100.0,97.0,100.0,100.0,98.0
400060,2015-2016,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,98.0,98.0,98.0
610212,2015-2016,100.0,100.0,100.0,,100.0,,,,100.0,,,100.0,100.0,,,100.0
609848,2015-2016,99.0,99.0,99.0,99.0,,,,99.0,,,,99.0,99.0,100.0,96.0,
609951,2015-2016,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,
609777,2015-2016,98.0,98.0,98.0,,98.0,,,,98.0,,,98.0,98.0,97.0,97.0,98.0
609779,2015-2016,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0
610287,2015-2016,100.0,100.0,100.0,100.0,,,,100.0,,,,100.0,100.0,100.0,100.0,
610268,2015-2016,100.0,99.0,100.0,100.0,,,,100.0,,,,100.0,99.0,95.0,95.0,
400017,2015-2016,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,,100.0
609782,2015-2016,100.0,100.0,100.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,99.0,95.0
609786,2015-2016,100.0,100.0,100.0,100.0,,,,100.0,,,,100.0,100.0,100.0,100.0,
610544,2015-2016,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,98.0,98.0,100.0
609788,2015-2016,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,
609789,2015-2016,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
609790,2015-2016,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,
609791,2015-2016,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,
609792,2015-2016,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0
610083,2015-2016,,,,,,,,,,,,,,,,
610246,2015-2016,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0,100.0,100.0,97.0,100.0,
609796,2015-2016,100.0,100.0,100.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,99.0,99.0,95.0
610237,2015-2016,100.0,99.0,100.0,100.0,,,,99.0,,,,100.0,99.0,95.0,96.0,
609797,2015-2016,99.0,100.0,100.0,99.0,,,99.0,100.0,,,100.0,99.0,100.0,100.0,100.0,
609798,2015-2016,100.0,100.0,100.0,,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,99.0
